,Datetime,AdjClose,Volume,Price,buysell
45,2024-04-11 10:15:00-04:00,512.3599853515625,243147,512.34,1
308,2024-04-11 14:38:00-04:00,519.405029296875,95403,519.41,-1
735,2024-04-12 15:15:00-04:00,509.239990234375,243777,509.2,1
790,2024-04-15 09:40:00-04:00,515.180419921875,261871,515.07,-1
1236,2024-04-16 10:37:00-04:00,502.55999755859375,270793,502.68,1
1313,2024-04-16 11:54:00-04:00,505.2999877929688,175547,505.19,-1
1320,2024-04-16 12:01:00-04:00,503.6300048828125,268211,503.66,1
1368,2024-04-16 12:49:00-04:00,504.909912109375,54329,504.91,-1
1409,2024-04-16 13:30:00-04:00,502.8500061035156,740355,502.93,1
1448,2024-04-16 14:09:00-04:00,506.2950134277344,387876,506.2,-1
1467,2024-04-16 14:28:00-04:00,502.8599853515625,189928,503.04,1
1574,2024-04-17 09:45:00-04:00,505.989990234375,178700,506.02,-1
1753,2024-04-17 12:44:00-04:00,499.4100036621094,195418,499.42,1
1873,2024-04-17 14:44:00-04:00,503.8699951171875,205904,503.9,-1
1956,2024-04-18 09:37:00-04:00,499.91009521484375,502558,499.94,1
2061,2024-04-18 11:22:00-04:00,503.8999938964844,259312,503.97,-1
2253,2024-04-18 14:34:00-04:00,498.6600036621094,221407,498.82,1
2328,2024-04-18 15:49:00-04:00,500.2699890136719,227379,500.4,-1
2710,2024-04-19 15:41:00-04:00,494.2749938964844,327158,494.16,1
3527,2024-04-24 09:49:00-04:00,507.010009765625,108037,507.16,-1
3702,2024-04-24 12:45:00-04:00,503.2149963378906,67595,503.23,1
3774,2024-04-24 13:57:00-04:00,506.30999755859375,64190,506.4,-1
3928,2024-04-25 10:01:00-04:00,497.7000122070313,248728,497.69,1
4329,2024-04-26 10:12:00-04:00,508.909912109375,166833,508.88,-1
4400,2024-04-26 11:23:00-04:00,507.9119873046875,84019,507.95,1
4531,2024-04-26 13:34:00-04:00,509.6900024414063,85184,509.76,-1
4674,2024-04-26 15:57:00-04:00,508.510009765625,477817,508.45,1
4679,2024-04-29 09:32:00-04:00,510.6199951171875,327308,510.64,-1
4813,2024-04-29 11:46:00-04:00,509.2000122070313,67276,509.25,1
4932,2024-04-29 13:45:00-04:00,510.4436950683594,43469,510.46,-1
5012,2024-04-29 15:05:00-04:00,507.8500061035156,175893,507.67,1
5064,2024-04-29 15:57:00-04:00,509.7699890136719,333863,509.91,-1
5683,2024-05-01 13:17:00-04:00,500.0750122070313,49271,500.01,1
5794,2024-05-01 15:08:00-04:00,507.6900024414063,531105,507.42,-1
5884,2024-05-02 10:08:00-04:00,500.4299926757813,243189,500.12,1
6262,2024-05-03 09:56:00-04:00,511.8699951171875,144987,511.85,-1
6329,2024-05-03 11:12:00-04:00,508.9000854492188,96447,508.85,1
6522,2024-05-03 14:25:00-04:00,511.9200134277344,47827,511.92,-1
6589,2024-05-03 15:32:00-04:00,511.3550109863281,121242,511.28,1
6681,2024-05-06 10:40:00-04:00,514.530029296875,139053,514.56,-1
6780,2024-05-06 12:20:00-04:00,513.8350219726562,402867,513.83,1
7240,2024-05-07 13:30:00-04:00,518.4949951171875,77693,518.5,-1
7392,2024-05-08 09:32:00-04:00,515.469970703125,167581,515.5,1
8196,2024-05-10 09:56:00-04:00,522.5311889648438,91367,522.47,-1
8324,2024-05-10 12:04:00-04:00,519.9682006835938,107808,519.96,1
8560,2024-05-13 09:30:00-04:00,522.4000244140625,1793147,522.34,-1
8831,2024-05-13 14:01:00-04:00,520.4000244140625,100613,520.41,1
9007,2024-05-14 10:27:00-04:00,522.2899780273438,367079,522.27,-1
9020,2024-05-14 10:40:00-04:00,520.8200073242188,156454,520.94,1
9817,2024-05-16 10:58:00-04:00,531.4199829101562,216208,531.41,-1
10159,2024-05-17 10:10:00-04:00,528.405029296875,104293,528.46,1
10270,2024-05-17 12:02:00-04:00,528.8800048828125,46202,528.93,-1
10312,2024-05-17 12:44:00-04:00,528.364990234375,44190,528.33,1
10630,2024-05-20 11:32:00-04:00,531.5,76656,531.51,-1
10898,2024-05-21 09:30:00-04:00,529.2000122070312,847671,529.25,1
11284,2024-05-21 15:57:00-04:00,531.3800048828125,746308,531.35,-1
11426,2024-05-22 11:50:00-04:00,530.5,414500,530.55,1
11511,2024-05-22 13:15:00-04:00,531.2150268554688,32639,531.21,-1
11598,2024-05-22 14:42:00-04:00,527.7999877929688,143264,527.81,1
11676,2024-05-23 09:30:00-04:00,532.530029296875,2167805,532.31,-1
12017,2024-05-23 15:11:00-04:00,525.0247192382812,141012,524.95,1
12168,2024-05-24 11:13:00-04:00,530.1400146484375,121351,530.16,-1
12282,2024-05-24 13:07:00-04:00,529.1199951171875,48495,529.14,1
12342,2024-05-24 14:07:00-04:00,529.9299926757812,0,530.02,-1
12397,2024-05-24 15:02:00-04:00,528.6400146484375,311671,528.67,1
12433,2024-05-24 15:38:00-04:00,529.405029296875,247675,529.35,-1
